,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
0,Trại Hoa Vàng (2022),Nguyễn Nhật Ánh,NaN,Nxb Trẻ,NXB Trẻ,8934974178019,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,288
1,Muông Thú Dạy Ta Bài Học Cuộc Sống,"Haro Arou , Kaori Shinohara",Duy Ngọc,Nxb Trẻ,NXB Trẻ,8934974177845,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 0.5 cm,2022,216
2,365 Bài Học Tâm Lý - Tập 1,Jung Yeoul,Hoài Thảo,Nxb văn học,AZ books,8935325005244,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 1.2 cm,2022,288
3,Vẽ Nguệch Ngoạc Cả Thế Giới - How To Draw,Chika Miyata,Hạ Pu,Nxb Thế giới,AZ books,8935325005343,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 14.5 x 1 cm,2022,248
4,Nhật Ký Thao Thức,Lee Crutchley,NaN,Nxb Thế giới,AZ books,8935325005275,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20 x 14.5 cm,2022,200
5,Bài Học Cuộc Sống: Được Và Mất,"Losedow , Triệu Lệ Vinh",NaN,Nxb Thế giới,AZ books,8935325005435,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,280
6,Người Tan Làm Sau Cùng Là Người Nghỉ Việc Đầu Tiên,Uy Liêm,NaN,NXB Phụ Nữ,Skybooks,8935325003561,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,328
7,Trái Tim Phù Thuỷ,Uy Liêm,NaN,NXB Phụ Nữ,Skybooks,8935325004018,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,472
8,Tôi Lại Mơ Thấy Giấc Mơ Ấy,Yoru Sumino,Uy Liêm,NXB Phụ Nữ,Skybooks,8935325003172,NaN,NaN,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,280
9,Thích Cậu Nốt Hôm Nay,Mei,NaN,NXB Phụ Nữ,Skybooks,8935325004377,NaN,400.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,176
10,Phải Lòng Với Cô Đơn (Tái Bản 2022),Kulzsc,NaN,NXB Phụ Nữ,Skybooks,8935325002007,NaN,580.00 gam,Tiếng Việt,Bìa mềm,17 x 11 cm,2022,256
11,Đóa Hoa Đồng Thoại - Giải Thưởng Sáng Tác Truyện Đồng Thoại Eneos Xmogu Lần Thứ 4,Nhiều tác giả,NaN,NXB Kim Đồng,More Production Vietnam,9786042233101,NaN,500.00 gam,Tiếng Việt,Bìa mềm,26 x 21 cm,2022,84
12,Mặc Kệ Thiên Hạ Sống Như Người Nhật (Tái Bản 2022),Mari Tamagawa,Nguyễn Hoàng Vân,Nxb Hà Nội,Skybooks,8935325005299,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20 x 12 cm,2022,192
13,"Bạn Chỉ Cần Sống Tốt, Trời Xanh Tự An Bài (Tái Bản)",Kotoha Yao,Kotoha Yao,Nxb Hà Nội,Skybooks,8935325005237,NaN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,262
14,Bí Quyết Bấm Huyệt Chữa Bệnh (Tái Bản 2022),Katsusuke Serizawa,Phạm Kim Thạch,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855492,NaN,430.00 gam,Tiếng Việt,Bìa mềm,28.5 x 21 x 1 cm,2022,232
15,Những Mẫu Chuyện Hài Hước Trong Kinh Doanh Của Người Do Thái (Tái Bản),Hoa Sơn,"Thành Khang , Thủy Tiên",Nxb Thanh Hóa,Văn Lang,8935074126726,NaN,400.00 gam,Tiếng Việt,Bìa mềm,21 x 14 x 1 cm,2022,176
16,Thịnh Vượng Tài Chính Tuổi 30 - Tập 2 (Tái Bản 2022),Go Deuk Seong,NaN,Nxb Lao động,Thái Hà,8935280909786,NaN,400.00 gam,Tiếng Việt,Bìa mềm,24 x 16 x 0.5 cm,2022,246
17,Combo Sách Của Tác Giả A Tăng Kì,A Tăng Kì,NaN,NXB Thanh Niên,OOPSY,1130000095447,NaN,NaN,Tiếng Việt,Bìa mềm,20 x 14 cm,2022,1048
18,Ehon - Trẻ Là Thiên Tài Theo Một Cách Riêng - Harry Tớ Vuốn Viết Được Tên Của Cậu! (Từ 6 Tuổi),Virgo Phan,NaN,Nxb Hà Nội,Thái Hà,8935280910898,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20 x 20 x 0.5 cm,2022,100
19,Tứ Thư Lãnh Đạo - Thuật Lãnh Đạo (Tái Bản 2022),Hòa Nhân,"Nguyễn Thị Thanh, Nguyễn Đức Anh, Phan Vũ Tuấn Anh",Nxb Lao động,Thái Hà,8935280910430,NaN,620.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 x 2 cm,2022,426
20,Henny,Elizabeth Rose Stanton,NaN,Nxb Hà Nội,Crabit Kidbooks,9786045590003,NaN,300.00 gam,Tiếng Việt,Bìa mềm,21 x 20.5 cm,2022,40
21,Mặt Trời Trong Suối Lạnh,Nguyễn Phương Văn,NaN,NXB Phụ Nữ,AZ books,8935325005473,NaN,NaN,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,160
22,Hành Trang Du Học - (Tái Bản 2021),Chu Đình Tới,NaN,Nxb Lao động,Alpha books,8936158591621,NaN,360.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 0.7 cm,2021,156
23,Nửa Kia Biệt Tích,Brit Bennett,Lã Minh Phương,NXB Phụ Nữ,Huy Hoàng,8935095632367,NaN,855.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13.5 x 2.3 cm,2022,499
24,Dọc Đường,Nguyên Ngọc,NaN,NXB Phụ Nữ,Nhã Nam,8935235233690,NaN,620.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,408
25,Perfect Ielts Speaking,William Jang,NaN,Nxb Tổng hợp TP.HCM,Cty Nhân Trí Việt,9786043121209,NaN,500.00 gam,Tiếng Việt,Bìa mềm,26 x 18.5 cm,2021,256
26,Vì Sao Phật Giáo Giàu Chân Lý - Why Buddhism Is True,Robert Wright,Du Lê,Nxb Thế giới,Saigon Books,8935278601845,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 1 cm,2022,420
27,Về Quê Lập Nghiệp (Tái Bản),Tuấn Trần,NaN,NXB Dân Trí,Saigon Books,8935278606598,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 1.7 cm,2022,316
28,Quản Lý Cảm Xúc Làm Chủ Lý Trí,"Steven Sloman , Philip Fernbach",Nguyễn Phương Linh,NXB Dân Trí,1980Books,8936066693622,NaN,570.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 1.2 cm,2022,348
29,Montessori - Phương Pháp Giáo Dục Sớm Giúp Trẻ Phát Triển Tiềm Năng Trí Tuệ,BETH WOOD,1980Edu,NXB Dân Trí,1980Books,8936066693134,NaN,500.00 gam,Tiếng Việt,Bìa mềm,18 x 18 cm,2022,168
0,Đạo Đức Trong Kinh Doanh - Nền Tảng Để Phát Triển Doanh Nghiệp Bền Vững,Sarah Duncan,Khánh Trang,NXB Công Thương,Thái Hà,8935280910560,NaN,390.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 1 cm,2022,212
1,Đừng Bao Giờ Chia Đôi Lợi Ích Trong Mọi Cuộc Đàm Phán,Chris Voss,Phan Ngọc Lệ Minh,Nxb Thế giới,Alpha books,8935251418125,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 0.9 cm,2022,420
2,Kết Thúc Bán Hàng Đòn Quyết Định - The Art Of Closing The Sale,Brian Tracy,"Thanh Huyền , Thư Trang",NXB Khoa học và kỹ thuật,Alpha books,8935251417920,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13.0 x 0.5 cm,2022,252
3,Quy Tắc Làm Việc Của Google,Laszlo Bock,Cẩm Chi,NXB Công Thương,Alpha books,8935251418095,NaN,650.00 gam,Tiếng Việt,Bìa mềm,24 x 16 x 1.5 cm,2022,432
4,Bạn Có Thể Đàm Phán Bất Cứ Điều Gì (Tái Bản 2022),Herb Cohen,"Nguyễn Vũ Thành , Minh Khôi",NXB Công Thương,Alpha books,8935251417913,NaN,570.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 1.2 cm,2022,364
5,Bách Khoa Thư Về Nghệ Thuật,DK,Alphabooks,NXB Dân Trí,Alpha books,8935309502103,NaN,700.00 gam,Tiếng Việt,Bìa cứng,27.6 x 21.6 cm,2022,208
6,Tủ Sách Đời Người - Truyện Cổ Dân Gian Nga - Tập 4,Alexander Afanasyev,NaN,NXB Dân Trí,Alpha books,8935270703431,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.5 cm,2022,200
7,Tủ Sách Đời Người - Truyện Kiều,Nguyễn Du,NaN,NXB Dân Trí,Alpha books,8935270703455,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.5 cm,2022,236
8,Thuật Tẩy Não - Nghệ Thuật Thao Túng Và Kiểm Soát Tâm Lý Đối Phương,Cao Đức,Thanh Vân,Nxb Lao động,Alpha books,8935251418309,NaN,570.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 2 cm,2022,404
9,Vic Ielts Reading Start,Cherie Park Siwonschool,Lê Kiều Trang,NXB Dân Trí,Alpha books,8935251417753,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 16 x 1 cm,2022,360
10,Khác Biệt Hay Là Chết (Tái Bản 2021),"Jack Troit , Steve Rivkin",Phạm Thảo Nguyên,Nxb Tổng hợp TP.HCM,Trí Việt,8935086854952,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 1.5 cm,2021,344
11,Cho Đời Bớt Muộn Phiền (Tái Bản 2022),Thích Thánh Nghiêm,Thích Quang Định,Nxb Lao động,Thái Hà,8935280907492,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20 x 12 x 0.6 cm,2022,154
12,Tài Chính Cá Nhân Cho Mẹ Đơn Thân,"Robert Bexton , Susan Reynolds",NaN,Nxb Lao động,Thái Hà,8935280910577,NaN,400.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 x 1 cm,2022,252
13,A Cup Of Chicken Soup For The Soul - Điều Diệu Kỳ Từ Cách Nhìn Cuộc Sống,"Jack Canfield , Mark Victor Hansen",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855454,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 1 cm,2022,152
14,Sống Không Thắc Mắc Đời Không Nể - Những Kiến Thức Thú Vị Có Thể Bạn Nên Biết,Trương Lập Huy,NaN,NXB Thanh Niên,AZ books,8935325004124,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,272
15,Giữa Hai Vương Quốc,Suleika Jaouad,NaN,NXB Thanh Niên,AZ books,8935325004070,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,448
16,"Tôi Đang Đợi Gió, Cũng Là Đợi Bạn",Hà Tiểu Nhiên,Đông Ly,NXB Thanh Niên,AZ books,8935325004285,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,280
17,Sao Người Nỡ Bỏ Rơi Tôi?,Sơn Paris,NaN,Nxb văn học,AZ books,8935325004094,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,240
18,Tâm Lý Học Đàn Ông - Hiểu Tình Rồi Hãy Yêu,Dr Goodwill,NaN,Nxb Thế giới,AZ books,8935325004391,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,2022,184
19,Nướng Sao Cho Không Cháy,Bonnie Ohara,NaN,NXB Phụ Nữ,AZ books,8935325005046,NaN,400.00 gam,Tiếng Việt,Bìa mềm,24 x 17 cm,2022,190
20,Thấu Hiểu Chính Mình,Megan Logan,NaN,NXB Dân Trí,AZ books,8935325004735,NaN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,236
21,Chúng Ta Lớn Lên Theo Cảm Xúc Của Mẹ,Park Woo Ran,Nguyễn Thủy,NXB Thanh Niên,AZ books,8935325004780,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2022,168
22,Kho Tàng Truyện Cổ Tích Việt Nam - Tập 1,Nguyễn Đổng Chi,NaN,Nxb Trẻ,NXB Trẻ,8934974167310,NaN,350.00 gam,Tiếng Việt,Bìa mềm,19.5 x 13 x 1 cm,2022,372
23,Đời Thay Đổi Khi Chúng Ta Thay Đổi - Tập 1. Chìa Khóa Hạnh Phúc,Andrew Matthews,"Thúy Nga , Dũng Tiến",Nxb Trẻ,NXB Trẻ,8934974176961,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 14 cm,2022,168
24,Đời Thay Đổi Khi Chúng Ta Thay Đổi - Tập 3 .Trái Tim Sáng Suốt,Andrew Matthews,"Thúy Nga , Dũng Tiến",Nxb Trẻ,NXB Trẻ,8934974176985,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 14 cm,2022,168
25,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới? (Tái bản 2022),Song Hong Bing,Hồ Ngọc Minh,Nxb Lao động,BachvietBooks,9786043437881,NaN,850.00 gam,Tiếng Việt,Bìa mềm,24 x 16 x 1.5 cm,2022,532
26,Văn Học Tuổi 20 - Nửa Lời Chưa Nói,Duy Ân,NaN,Nxb Trẻ,NXB Trẻ,8934974176732,NaN,300.00 gam,Tiếng Việt,Bìa mềm,20 x 13 x 1 cm,2022,168
27,"Văn Học Tuổi 20 - Ngủ Ngon Nhé, Nàng Thơ",Nguyễn Dương Quỳnh,NaN,Nxb Trẻ,NXB Trẻ,8934974177074,NaN,490.00 gam,Tiếng Việt,Bìa mềm,20 x 13 x 1.2 cm,2022,248
28,Văn Học Tuổi 20 - Vụn Ký Ức,Yang Phan,NaN,Nxb Trẻ,NXB Trẻ,8934974177241,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 13 x 1 cm,2022,156
29,Văn Học Tuổi 20 - Chuồng Cọp Trên Cao,Nguyễn Thu Hằng,NaN,Nxb Trẻ,NXB Trẻ,8934974176923,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2022,380
0,"Đàn Ông Sao Hỏa, Đàn Bà Sao Kim - Tìm Lại Tình Yêu (Tái Bản 2019)",John Gray,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086848623,NaN,650.00 gam,Tiếng Việt,Bìa mềm,13 x 20.5 cm,2019,448
1,Sống Lần Thứ 2 (Tái Bản 2022),Nguyễn Thủy Tiên,NaN,Nxb Lao động,Thái Hà,8935280910348,NaN,650.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,2022,304
2,1000 Hợp Âm Cho Đàn Guitare (Tái Bản 2021),"Patrick Moulou , Art Mickaelian",NaN,Nxb Thanh Hóa,Văn Lang,8935074125620,NaN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 27 cm,2021,104
3,Quẳng Gánh Lo Đi & Vui Sống - Bìa Cứng (Tái Bản 2021),Dale Carnegie,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086854884,NaN,800.00 gam,Tiếng Việt,Bìa cứng,20.5 x 14.5 x 2.1 cm,2021,311
4,Trúc Thư Dao 1 - Nước Tần - Có Nàng Tên Thập,Văn Giản Tử,Tố Hinh,Nxb Hà Nội,Nhã Nam,8935235233133,NaN,900.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 2 cm,2022,528
5,Tâm Hồn Cao Thượng,Edmondo De Amicis,NaN,NXB Phụ Nữ,Nhã Nam,8935235233157,NaN,650.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 x 2 cm,2022,432
6,Huyền Thuật Và Các Đạo Sĩ Tây Tạng,Elexandra David - Neel,Nguyên Phong,Nxb Thế giới,Trí Việt,8935086855430,NaN,450.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,2022,260
7,52 Thí Nghiệm Steam Siêu Thú Vị Kích Thích Trí Sáng Tạo,Liz Lee Heinecke,NaN,Nxb Thế giới,1980Books,8936066686952,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 20.5 cm,2019,140
8,Combo 10 Cuốn Truyện Ngụ Ngôn Aesop Song ngữ - Truyện Kể Mầm Non ( Giao Ngẫu Nhiên),Nhiều tác giả,NaN,NXB Đồng Nai,Fahasa,1130000095168,NaN,1000.00 gam,Tiếng Việt,Bìa mềm,NaN,2018,NaN
9,Nghiệp Tình Yêu - Karma Of Love (Tái Bản 2021),Geshe Michael Roach,NaN,Nxb Lao động,Thái Hà,8935280909397,NaN,800.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2021,589
10,Muốn Học Giỏi Lịch Sử Không? Tớ Cho Cậu Mượn Vở - Tập 2: Trung Đại,Ximena Vengoechea,NaN,Nxb Thế giới,Thái Hà,8935280909892,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 14.5 x 1 cm,2022,202
11,Muốn Học Giỏi Lịch Sử Không? Tớ Cho Cậu Mượn Vở - Tập 1: Cổ Đại (Tái Bản 2022),Ximena Vengoechea,NaN,Nxb Thế giới,Thái Hà,8935280909908,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 14.5 x 1 cm,2022,152
12,Ehon - Mọt Sách Mogu - Gư-Ri Và Gư-Ra,"Rieko Nagakawa , Yuriko Omura",NaN,NXB Kim Đồng,More Production Vietnam,9786042188814,NaN,250.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,2020,32
13,Ehon - Mùa Xuân Của Bê Con,Gomi Taro,NaN,NXB Kim Đồng,More Production Vietnam,9786042192453,NaN,250.00 gam,Tiếng Việt,Bìa mềm,26 x 21 cm,2020,36
14,Truyện Tranh Ehon - Mưa Rơi,Sato Wakiko,NaN,Nxb Thế giới,More Production Vietnam,9786047744138,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,2018,40
15,Truyện Tranh Ehon - Mọi Người Đã Dạy Tớ (Tái Bản),Gomi Taro,NaN,NXB Kim Đồng,More Production Vietnam,9786042191777,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,2021,40
16,Ehon - Mọt Sách Mogu - Gà Con Chạy Trốn (Tái Bản 2020),Gomi Taro,NaN,NXB Kim Đồng,More Production Vietnam,9786042188203,NaN,200.00 gam,Tiếng Việt,Bìa mềm,21 x 20 cm,2020,24
17,Ehon - Mọt Sách Mogu - Cái Bàn Là Cái Bàn,Gomi Taro,NaN,NXB Kim Đồng,More Production Vietnam,9786042140997,NaN,200.00 gam,Tiếng Việt,Bìa mềm,22.5 x 23 cm,2019,36
18,Ehon - Mọt Sách Mogu - Rukkio Và Furifuri - Giáng Sinh Đầu Tiên,Naoko Shono,NaN,NXB Kim Đồng,More Production Vietnam,9786042154703,NaN,200.00 gam,Tiếng Việt,Bìa mềm,25.7 x 21 cm,2019,32
19,Ehon - Mọt Sách Mogu - Nỗi Buồn Ốc Sên,Niimi Nankichi,"Lê Hiền , Linh Trụ",NXB Kim Đồng,More Production Vietnam,9786042182294,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 cm,2021,24
20,"Dâu Nhỏ Ơi, Cậu Ở Đâu Thế?",Sayaka Noshi,NaN,NXB Kim Đồng,More Production Vietnam,9786042233859,NaN,250.00 gam,Tiếng Việt,Bìa mềm,NaN,2021,32
21,Truyện Tranh Ehon - Ai Thân Thiết Với Ai (Tái Bản 2020),Toshio Nishimura,NaN,NXB Kim Đồng,More Production Vietnam,9786042187077,NaN,300.00 gam,Tiếng Việt,Bìa mềm,21 x 20 cm,2021,28
22,Đường Mây Qua Xứ Tuyết (Tái Bản 2021),Anagarika Govinda,Nguyên Phong,Nxb Thế giới,Trí Việt,8935086855195,NaN,540.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,2021,320
23,Chicken Soup For The College Soul - Tuổi Hoa Niên Đáng Nhớ,"Jack Canfield , Mark Victor Hansen",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855188,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2021,152
24,Miền Đất Hứa - A Promised Land,Barack Obama,NaN,NXB Dân Trí,Trí Việt,8935086855287,NaN,2500.00 gam,Tiếng Việt,Bìa cứng,24 x 16 cm,2022,1040
25,Sức Mạnh Của Hiện Tại (Tái Bản 2021),Eckhart Tolle,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855263,NaN,630.00 gam,Tiếng Việt,Bìa mềm,20.5 x 15 x 1.2 cm,2021,400
26,Vị Giám Đốc Một Phút (Tái Bản 2021),"Ken Blanchard , Ph D Spencer Johnson, M D",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855270,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 0.5 cm,2021,186
27,Theo Chân Người Tí Hon - Khám Phá Trái Đất,"John Farndon , Tim Hutchinson",NaN,Nxb Lao động,Thái Hà,8935280910317,NaN,450.00 gam,Tiếng Việt,Bìa mềm,27 x 20.5 x 0.5 cm,2022,80
28,14 Nguyên Tắc Tăng Trưởng Thần Tốc Như Amazon,Steve Anderson,NaN,NXB Dân Trí,Trí Việt,8935086855393,NaN,550.00 gam,Tiếng Việt,Bìa mềm,14.5 x 20.5 cm,2022,352
29,"Súng, Vi Trùng Và Thép (Tái Bản 2022)",Jared Diamond,Trần Tiễn Cao Đăng,Nxb Thế giới,Alpha books,8935270703509,NaN,1300.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2021,660
0,Cảng Biển Và Logistics - Nhìn Lại Một Hành Trình Phát Triển,Đặng Dưỡng,NaN,NXB Dân Trí,Alpha books,9786043443905,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 1 cm,2021,452
1,Bài Học Phần Lan 3.0 (Tái Bản),Pasi Sahlberg,"Đặng Việt Vinh , Lê Phương Anh",Nxb Thế giới,Alpha books,8935270703233,NaN,500.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2020,408
2,"Kaizen - Cải Tiến Hiện Trường, Hiệu Quả Tức Thì - Thực Hành Kaizen Trong Doanh Nghiệp Việt",Dan Buettner,NaN,NXB Công Thương,Alpha books,8935251418033,NaN,450.00 gam,Tiếng Việt,Bìa mềm,24 x 16 x 1 cm,2022,196
3,Chuyện Lẩu Cua,Chris Freund,NaN,Nxb Thế giới,Alpha books,8935251417739,NaN,250.00 gam,Tiếng Việt,Bìa cứng,24.5 x 23 x 0.5 cm,2022,68
4,Nghệ Thuật Kể Chuyện Bằng Dữ Liệu,Dan Buettner,NaN,Nxb Lao động,Alpha books,8935251411706,NaN,400.00 gam,Tiếng Việt,Bìa mềm,23 x 15 x 0.5 cm,02/2022,200
5,Crab Hotpot,Chris Freund,NaN,Nxb Thế giới,Alpha books,9786043452341,NaN,1000.00 gam,Tiếng Việt,Bìa cứng,24.5 x 23 x 1 cm,2022,67
6,Tam Quốc Di Sự,Il Yeon (Nhất Nhiên),NaN,Nxb văn học,Nhã Nam,1130000095005,NaN,550.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,384
7,Án Mạng Ở Nhà Mục Vụ (Tái Bản 2022),Agatha Christie,NaN,Nxb Trẻ,NXB Trẻ,8934974165354,NaN,600.00 gam,Tiếng Việt,Bìa mềm,20 x 13 x 1.5 cm,2022,340
8,Que Que Thích Khám Phá: Tàu Thuyền,"John Paul , John Farndon",NaN,Nxb Trẻ,NXB Trẻ,8934974175520,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 x 0.5 cm,2022,32
9,Que Que Thích Khám Phá: Núi Non Và Thung Lũng - Từ Đỉnh Núi Cao Qua Đồng Bằng Đến Tâm Trái Đất,"Catherine Chambers , John Paul de Quay",NaN,Nxb Trẻ,NXB Trẻ,8934974175575,NaN,200.00 gam,Tiếng Việt,Bìa mềm,26 x 19 x 0.5 cm,2022,32
10,Xa Lạ Trong Tôi,Orhan Pamuk,Thiên Nga,Nxb Hà Nội,Nhã Nam,8935235232679,NaN,1000.00 gam,Tiếng Việt,Bìa mềm,24 x 15.5 cm,2022,324
11,Chuyện Xóm Gà - Căn Lều Ma Quái Tấn Công Xóm Gà,"Christian Heinrich , Christian Jolibois",NaN,Nxb Hà Nội,Nhã Nam,8935235232266,NaN,200.00 gam,Tiếng Việt,Bìa mềm,19 x 14.5 x 0.5 cm,2021,48
12,"Hít Hà Mùi Đất Nước - Táo Ơi, Táo Rơi Đất Lành","Mình Là Hũ , Trúc Nhi Hoàng",NaN,Nxb Hà Nội,Nhã Nam,8935235232488,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 20 cm,2021,20
13,Hít Hà Mùi Đất Nước - Không Có Nhiều Củi Khô Đến Thế Đâu,"Mình Là Hũ , Trúc Nhi Hoàng",NaN,Nxb Hà Nội,Nhã Nam,8935235232532,NaN,440.00 gam,Tiếng Việt,Bìa mềm,20 x 20 cm,2022,20
14,Tăng Cường Sức Mạnh Não Bộ,Kato Toshinori,NaN,Nxb Thế giới,Nhã Nam,8935235232440,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.5 cm,2022,234
15,Hơn Cả Khởi Nghiệp 2.0: Xây Dựng Công Ty Từ Khởi Nghiệp Đến Vĩ Đại Trường Tồn,"Jim Collins , Bill Lazier",NaN,Nxb Trẻ,NXB Trẻ,8934974175216,NaN,900.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 2 cm,2022,558
16,Giấc Mơ Chín Tầng Mây,Kim Man Jung,NaN,Nxb Trẻ,NXB Trẻ,8934974175308,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 x 1 cm,2022,272
17,Chờ Em Đến San Francisco (Tái Bản 2022),Dương Thụy,NaN,Nxb Trẻ,NXB Trẻ,8934974175407,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20 x 13 x 0.5 cm,2022,284
18,"Wabi Sabi - Chấp Nhận Những Khiếm Khuyết, Sống Cuộc Đời An Nhiên",Trịnh Dung,NaN,Nxb văn học,AZ books,9786043237375,NaN,350.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,160
19,Bộ Sách Thông Minh - Giúp Việc Học Chữ Và Số Trở Nên Vui Nhộn - Tập 1,Việt An,NaN,NXB Phụ Nữ,123Vietnamese,9786045697566,NaN,200.00 gam,Tiếng Việt,Bìa mềm,18 x 18 x 0.3 cm,2021,50
20,Thiên Quan Tứ Phúc - Tập 4,Mặc Hương Đồng Khứu,NaN,Nxb Hà Nội,ZGroup,8936117743399,NaN,650.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 2 cm,2021,416
21,Freelancer Muốn Tự Do Phải Tự Lo,Anh Tuan Le,NaN,Nxb Hà Nội,Skybooks,8935325000515,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2021,224
22,Kỷ Luật Tự Giác,Tiểu Dã,NaN,Nxb Thế giới,Skybooks,8936186547614,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,2020,216
